Ticker,TradeDate,Open,High,Low,Close,Volume,Change,ChangePercent
BOCH,9/17/2013 12:00:00 AM,,,,,8563,0.0000,0.0000
BOFI,9/17/2013 12:00:00 AM,,,,,1453660,0.9250,5.8500
BOH,9/17/2013 12:00:00 AM,,,,,222519,0.4758,1.0420
BOKF,9/17/2013 12:00:00 AM,,,,,37632,0.6378,1.1180
BOOM,9/17/2013 12:00:00 AM,,,,,58577,0.0000,0.0000
BPFH,9/17/2013 12:00:00 AM,,,,,233181,0.1811,1.9630
BPOP,9/17/2013 12:00:00 AM,,,,,663679,0.2330,0.8560
BR,9/17/2013 12:00:00 AM,,,,,304536,0.2184,0.7800
BRC,9/17/2013 12:00:00 AM,,,,,328347,-0.1569,-0.5850
BREW,9/17/2013 12:00:00 AM,,,,,61525,0.1000,0.7520
BRK.B,9/17/2013 12:00:00 AM,,,,,4196100,0.5500,0.4790
BRKL,9/17/2013 12:00:00 AM,,,,,152714,0.1201,1.5090
BRKR,9/17/2013 12:00:00 AM,,,,,787278,-0.1378,-0.6670
BRKS,9/17/2013 12:00:00 AM,,,,,127515,0.0000,0.0000
BRO,9/17/2013 12:00:00 AM,,,,,670610,0.1920,1.2650
BRS,9/17/2013 12:00:00 AM,,,,,173889,1.0183,1.5860
BRSS,9/17/2013 12:00:00 AM,,,,,20319,0.4327,2.3020
BRT,9/17/2013 12:00:00 AM,,,,,3040,-0.0506,-0.7480
BSET,9/17/2013 12:00:00 AM,,,,,13698,0.2406,1.7350
BSRR,9/17/2013 12:00:00 AM,,,,,12469,0.1871,1.3530
BSTC,9/17/2013 12:00:00 AM,,,,,19575,0.3100,1.7610
BSX,9/17/2013 12:00:00 AM,,,,,12270798,-0.0200,-0.1680
BTX,9/17/2013 12:00:00 AM,,,,,81547,-0.0462,-1.2630
BUSE,9/17/2013 12:00:00 AM,,,,,31845,0.1035,0.7970
BWA,9/17/2013 12:00:00 AM,,,,,1204834,0.0094,0.0200
BWFG,9/17/2013 12:00:00 AM,,,,,985,-0.3873,-1.8180
BXC,9/17/2013 12:00:00 AM,,,,,6755,-0.2000,-1.0530
BXMT,9/17/2013 12:00:00 AM,,,,,54256,-0.0885,-0.5040
BXP,9/17/2013 12:00:00 AM,,,,,396484,-0.1338,-0.1510
BXS,9/17/2013 12:00:00 AM,,,,,622103,0.2965,1.6070
BYD,9/17/2013 12:00:00 AM,,,,,1340038,0.1586,1.2160
BZH,9/17/2013 12:00:00 AM,,,,,739605,0.4000,2.1800
C,9/17/2013 12:00:00 AM,,,,,15426890,0.1917,0.3920
CA,9/17/2013 12:00:00 AM,,,,,2149855,0.0766,0.2950
CAC,9/17/2013 12:00:00 AM,,,,,23243,0.3738,1.6450
CACC,9/17/2013 12:00:00 AM,,,,,28747,0.0100,0.0090
CACI,9/17/2013 12:00:00 AM,,,,,130504,0.5100,0.7430
CAG,9/17/2013 12:00:00 AM,,,,,5603759,-0.1645,-0.7480
CAH,9/17/2013 12:00:00 AM,,,,,1570453,0.2863,0.6010
CAI,9/17/2013 12:00:00 AM,,,,,199298,-0.2300,-0.9870
CAKE,9/17/2013 12:00:00 AM,,,,,473504,0.5499,1.3740
CAL,9/17/2013 12:00:00 AM,,,,,221913,0.2282,1.0700
CALM,9/17/2013 12:00:00 AM,,,,,68550,0.1179,0.5510
CALX,9/17/2013 12:00:00 AM,,,,,297270,0.1800,1.4000
CAMP,9/17/2013 12:00:00 AM,,,,,224447,0.3800,2.2540
CAR,9/17/2013 12:00:00 AM,,,,,975521,0.0900,0.2950
CARB,9/17/2013 12:00:00 AM,,,,,113192,0.5100,3.6320
CASI,9/17/2013 12:00:00 AM,,,,,2647,0.0000,0.0000
CASS,9/17/2013 12:00:00 AM,,,,,20679,0.9352,2.1400
CASY,9/17/2013 12:00:00 AM,,,,,421149,0.0859,0.1270
CAT,9/17/2013 12:00:00 AM,,,,,3416355,-0.0941,-0.1260
CATC,9/17/2013 12:00:00 AM,,,,,3254,0.2114,0.6520
CATM,9/17/2013 12:00:00 AM,,,,,119241,0.7700,2.1260
CATO,9/17/2013 12:00:00 AM,,,,,92787,0.3615,1.6830
CATY,9/17/2013 12:00:00 AM,,,,,276337,0.5817,2.8480
CB,9/17/2013 12:00:00 AM,,,,,833715,0.3570,0.4330
CBB,9/17/2013 12:00:00 AM,,,,,110372,0.1500,1.0070
CBIO,9/17/2013 12:00:00 AM,,,,,1322,-7.7957,-1.7790
CBL,9/17/2013 12:00:00 AM,,,,,1444949,-0.0254,-0.2020
CBM,9/17/2013 12:00:00 AM,,,,,189164,0.0700,0.5280
CBMG,9/17/2013 12:00:00 AM,,,,,2014,0.0000,0.0000
CBOE,9/17/2013 12:00:00 AM,,,,,716718,0.0835,0.1990
CBRE,9/17/2013 12:00:00 AM,,,,,1361191,0.0900,0.3820
CBRL,9/17/2013 12:00:00 AM,,,,,437659,1.8642,2.2070
